League,Season,Last Name,First Name,Age,City,Country,Team Name,Position,Player Number,Number Of Appearances,Game Time,Number of Sub-ins,Number of Sub-outs,Number of Times Benched,Total Shots,Total Shots On Goal,Total Goals Scored,Number of Assists,Number of Goals Conceded,Number of Goals Saved,Total Passes,Number of Key Passes,Passing Accuracy,Total Tackles,Total Blocks,Number of Interceptions,Total Duels,Number of Duels Won,Total Dribble Attempts,Total Successful Dribbles,Total Dribbles Past,Total Fouls Drawn,Total Fouls Committed,Total Yellow Cards,Total Red Cards,Total YellowRed Cards,Number of Penalties Won,Number of Penalties Committed,Number of Penalties Scored,Number of Penalties Missed,Number of Penalties Saved
Ligue 2,2022,Ouattara,Kassoum,20.0,Paris,France,Amiens,Defender,,11.0,791.0,1.0,5.0,2.0,2.0,1.0,0.0,,0.0,,372.0,5.0,25.0,24.0,2.0,18.0,131.0,54.0,20.0,6.0,,10.0,14.0,1.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Kumbedi Nseke,Saël,19.0,,France,LE Havre,Defender,,4.0,124.0,3.0,0.0,5.0,1.0,,0.0,1.0,0.0,,69.0,1.0,15.0,2.0,,6.0,19.0,5.0,7.0,2.0,,1.0,2.0,0.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Diallo,Papa Amadou,20.0,,Senegal,Metz,Attacker,,1.0,9.0,1.0,0.0,3.0,,,0.0,,0.0,,5.0,,3.0,,,,2.0,,1.0,,,,,0.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,N'Doram,Kévin,28.0,Nantes,France,Metz,Midfielder,,22.0,1546.0,4.0,5.0,4.0,8.0,4.0,1.0,,0.0,,879.0,11.0,34.0,16.0,1.0,29.0,148.0,68.0,13.0,7.0,,15.0,24.0,3.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Rahman Roch Traoré,Ismaël Abdul,38.0,Paris,France,Metz,Defender,,30.0,2558.0,2.0,2.0,9.0,7.0,2.0,0.0,1.0,0.0,,1428.0,2.0,43.0,27.0,14.0,42.0,124.0,58.0,5.0,2.0,,4.0,11.0,2.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Oukidja,Alexandre Roger,36.0,Nevers,France,Metz,Goalkeeper,,34.0,2939.0,0.0,1.0,0.0,,,0.0,,22.0,73.0,658.0,,11.0,,,1.0,20.0,17.0,2.0,1.0,,7.0,2.0,1.0,2.0,0.0,,,0.0,0.0,0.0
Ligue 2,2022,Udol,Matthieu,28.0,Metz,France,Metz,Defender,,38.0,3410.0,0.0,2.0,0.0,19.0,6.0,3.0,5.0,0.0,,1648.0,38.0,35.0,68.0,12.0,71.0,352.0,185.0,73.0,34.0,,28.0,29.0,2.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Jallow,Abdoulie,26.0,Bundung,Gambia,Metz,Midfielder,,34.0,2425.0,4.0,26.0,6.0,53.0,25.0,6.0,5.0,0.0,,1034.0,55.0,25.0,34.0,1.0,23.0,287.0,152.0,84.0,52.0,,50.0,21.0,1.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Sabaly,Cheikh Tidiane,25.0,Kolda,Senegal,Metz,Midfielder,,28.0,1858.0,7.0,18.0,8.0,30.0,18.0,3.0,2.0,0.0,,645.0,31.0,18.0,49.0,,18.0,320.0,152.0,85.0,45.0,,42.0,36.0,1.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Tchimbembé,Warren Christopher Paul-Roger,26.0,Gonesse,France,Guingamp,Midfielder,,21.0,439.0,15.0,6.0,26.0,3.0,1.0,1.0,1.0,0.0,,204.0,2.0,8.0,8.0,2.0,4.0,54.0,24.0,8.0,6.0,,2.0,12.0,1.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Tchimbembé,Warren Christopher Paul-Roger,26.0,Gonesse,France,Metz,Midfielder,,1.0,12.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,,204.0,2.0,8.0,8.0,2.0,4.0,54.0,24.0,8.0,6.0,,2.0,12.0,1.0,0.0,1.0,,,0.0,0.0,
Ligue 2,2022,Daniel Pa Caillard,Marc-Aurèle,30.0,Melun,France,Metz,Goalkeeper,,2.0,121.0,1.0,0.0,4.0,,,0.0,,4.0,4.0,19.0,,6.0,,,,,,,,,,,1.0,0.0,0.0,,,0.0,0.0,0.0
Ligue 2,2022,Grandsir,Samuel,28.0,Evreux,France,LE Havre,Attacker,,14.0,917.0,3.0,11.0,3.0,15.0,6.0,2.0,,0.0,,338.0,7.0,19.0,18.0,1.0,6.0,114.0,40.0,32.0,10.0,,7.0,13.0,2.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Candé,Fali,26.0,Bissau,Guinea-Bissau,Metz,Defender,,38.0,3353.0,1.0,1.0,1.0,11.0,2.0,1.0,,0.0,,2076.0,8.0,45.0,37.0,17.0,52.0,234.0,129.0,5.0,4.0,,23.0,41.0,4.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Van Den Kerkhof,Kévin Daniel Guitoun,28.0,,France,Bastia,Defender,,38.0,3166.0,3.0,3.0,3.0,40.0,20.0,5.0,7.0,0.0,,927.0,43.0,16.0,65.0,4.0,28.0,369.0,179.0,131.0,53.0,,30.0,16.0,4.0,0.0,0.0,,,2.0,0.0,
Ligue 2,2022,Kouao,Koffi Franck,26.0,Abidjan,Côte d'Ivoire,Metz,Defender,,33.0,2745.0,3.0,0.0,3.0,12.0,5.0,1.0,1.0,0.0,,1416.0,18.0,35.0,68.0,8.0,40.0,298.0,163.0,58.0,33.0,,26.0,49.0,6.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Lô,Aboubacar Moustapha,24.0,Dakar,Senegal,Metz,Defender,,5.0,12.0,5.0,0.0,24.0,,,0.0,,0.0,,5.0,,1.0,,,,2.0,,,,,,1.0,0.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Demouchy,Albin,22.0,,France,Quevilly,Defender,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Ligue 2,2022,Joujou,Antoine,21.0,,France,LE Havre,Attacker,,17.0,511.0,13.0,3.0,13.0,6.0,2.0,1.0,1.0,0.0,,153.0,5.0,7.0,16.0,1.0,7.0,105.0,53.0,41.0,22.0,,7.0,5.0,0.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Nduquidi Diazongua Nfingui,Joseph,20.0,Metz,France,Metz,Midfielder,,14.0,309.0,11.0,2.0,23.0,,,0.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
Ligue 2,2022,Jean Jacques,Danley,24.0,,Haiti,Metz,Midfielder,,31.0,2309.0,5.0,5.0,7.0,22.0,6.0,0.0,2.0,0.0,,1036.0,21.0,26.0,47.0,12.0,50.0,240.0,108.0,12.0,8.0,,19.0,50.0,7.0,1.0,0.0,,,0.0,0.0,
Ligue 2,2022,Atta,Arthur,21.0,,France,Metz,Midfielder,,16.0,456.0,12.0,4.0,12.0,4.0,1.0,1.0,,0.0,,273.0,9.0,14.0,6.0,,9.0,78.0,28.0,16.0,9.0,,4.0,12.0,1.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Camara,Mamadou Lamine,20.0,Bingnona,Senegal,Metz,Midfielder,,4.0,201.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,,71.0,2.0,13.0,7.0,1.0,4.0,26.0,14.0,6.0,4.0,,3.0,3.0,0.0,1.0,0.0,,,0.0,0.0,
Ligue 2,2022,Mbaye,Malick,20.0,Dakar,Senegal,Metz,Midfielder,,2.0,10.0,2.0,0.0,5.0,,,0.0,,0.0,,4.0,,3.0,,,,1.0,1.0,1.0,1.0,,,,0.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Gorgelin,Mathieu,34.0,Ambérieu en Bugey,France,LE Havre,Goalkeeper,,7.0,630.0,0.0,0.0,30.0,,,0.0,,3.0,14.0,160.0,,15.0,,,,3.0,3.0,,,,3.0,,0.0,0.0,0.0,,,0.0,0.0,1.0
Ligue 2,2022,El Hajjam,Oualid,33.0,Châteauroux,France,LE Havre,Defender,,36.0,3086.0,0.0,8.0,1.0,14.0,4.0,1.0,1.0,0.0,,1938.0,14.0,43.0,64.0,7.0,72.0,318.0,180.0,43.0,29.0,,53.0,46.0,4.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Opéri,Christopher Téa,27.0,Abidjan,Côte d'Ivoire,LE Havre,Defender,,35.0,3150.0,0.0,0.0,0.0,20.0,10.0,2.0,2.0,0.0,,1812.0,42.0,41.0,86.0,5.0,52.0,397.0,227.0,68.0,35.0,,32.0,45.0,10.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Desmas,Arthur,30.0,Brest,France,LE Havre,Goalkeeper,,31.0,2790.0,0.0,0.0,0.0,,,0.0,,16.0,54.0,644.0,,14.0,,,,16.0,14.0,1.0,1.0,,7.0,1.0,2.0,0.0,0.0,,,0.0,0.0,1.0
Ligue 2,2022,Confais,Aloïs,28.0,Evreux,France,LE Havre,Midfielder,,11.0,212.0,10.0,1.0,16.0,1.0,,0.0,,0.0,,157.0,3.0,12.0,3.0,,1.0,27.0,10.0,2.0,1.0,,2.0,5.0,1.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Lloris,Gautier,29.0,Nice,France,LE Havre,Defender,,27.0,2430.0,0.0,0.0,2.0,11.0,3.0,3.0,3.0,0.0,,1814.0,8.0,60.0,30.0,21.0,22.0,197.0,125.0,5.0,1.0,,14.0,15.0,3.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Bamba,Abdoul Kader,30.0,Sarcelles,France,Saint Etienne,Attacker,,14.0,582.0,8.0,6.0,8.0,17.0,10.0,4.0,,0.0,,307.0,19.0,17.0,7.0,1.0,1.0,82.0,50.0,24.0,12.0,,27.0,9.0,3.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Kader Ndiaye,Rassoul,23.0,Besançon,France,Sochaux,Midfielder,,31.0,2501.0,0.0,17.0,1.0,23.0,13.0,1.0,1.0,0.0,,1275.0,15.0,36.0,64.0,2.0,27.0,328.0,161.0,66.0,41.0,,39.0,41.0,7.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Youté Kinkoué,Étienne Ludovic,22.0,Lyon,France,LE Havre,Defender,,5.0,208.0,3.0,0.0,17.0,1.0,,0.0,,0.0,,130.0,,28.0,1.0,1.0,,26.0,16.0,1.0,1.0,,,2.0,0.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Barbet,Hugo,23.0,Challans,France,Guingamp,Goalkeeper,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
Ligue 2,2022,Casimir,Josué,23.0,Baie-Mahault,Guadeloupe,LE Havre,Attacker,,34.0,2306.0,5.0,24.0,5.0,21.0,9.0,2.0,2.0,0.0,,697.0,17.0,15.0,36.0,,3.0,317.0,152.0,83.0,39.0,,47.0,52.0,7.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Sangante,Arouna,22.0,Mbao,Senegal,LE Havre,Defender,,35.0,3125.0,0.0,1.0,0.0,12.0,3.0,3.0,1.0,0.0,,2444.0,9.0,61.0,26.0,17.0,43.0,250.0,137.0,6.0,4.0,,45.0,50.0,11.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Kechta,Yassine,22.0,Paris,France,LE Havre,Midfielder,,28.0,1912.0,3.0,19.0,3.0,11.0,4.0,1.0,2.0,0.0,,949.0,13.0,28.0,40.0,2.0,19.0,230.0,102.0,38.0,22.0,,27.0,43.0,3.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Targhalline,Oussama,22.0,,Morocco,LE Havre,Midfielder,,12.0,684.0,5.0,4.0,5.0,2.0,1.0,1.0,,0.0,,434.0,8.0,28.0,13.0,2.0,14.0,98.0,39.0,9.0,2.0,,15.0,21.0,5.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Dion Sahi,Moïse Orell,23.0,Abidjan,Côte d'Ivoire,Annecy,Attacker,,36.0,2157.0,10.0,25.0,10.0,44.0,29.0,15.0,1.0,0.0,,441.0,10.0,8.0,15.0,1.0,2.0,226.0,92.0,55.0,30.0,,26.0,16.0,0.0,0.0,0.0,,,2.0,0.0,
Ligue 2,2022,Logbo,Andy Élysée,20.0,,France,LE Havre,Attacker,,2.0,62.0,2.0,0.0,2.0,,,0.0,,0.0,,10.0,,6.0,,,,13.0,7.0,6.0,4.0,,,1.0,1.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Ngoura,Steve,19.0,,France,LE Havre,Attacker,,1.0,5.0,1.0,0.0,1.0,1.0,,0.0,,0.0,,5.0,,2.0,,,,3.0,2.0,,,,1.0,,0.0,0.0,0.0,,,0.0,0.0,
Ligue 2,2022,Ebonog,Simon,20.0,Yaoundé,Cameroon,LE Havre,Midfielder,,1.0,2.0,1.0,0.0,1.0,,,0.0,,0.0,,2.0,,1.0,1.0,,,3.0,2.0,1.0,,,,,0.0,0.0,0.0,,,0.0,0.0,
