League,Season,Last Name,First Name,Age,Country,Team Name,Position,Number Of Appearances,Game Time,Number of Sub-ins,Number of Sub-outs,Number of Times Benched,Total Shots,Total Shots On Goal,Total Goals Scored,Number of Assists,Number of Goals Conceded,Number of Goals Saved,Total Passes,Number of Key Passes,Passing Accuracy,Total Tackles,Total Blocks,Number of Interceptions,Total Duels,Number of Duels Won,Total Dribble Attempts,Total Successful Dribbles,Total Fouls Drawn,Total Fouls Committed,Total Yellow Cards,Total Red Cards,Total YellowRed Cards,Number of Penalties Scored,Number of Penalties Missed,Number of Penalties Saved,Goals Per Appearance,Number of Substituions per Game,Avg Minutes per Appearance,Yellow Card Rate,Red Card Rate,YellowRed Card Rate
Championship,2022,Roy,Alistair,27,Scotland,Morton,Attacker,6,128.0,5,1,13,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,1.0,21.333333333333332,0.046875,0.0,0.0
Championship,2022,Hetherington,Steven,31,England,Arbroath,Midfielder,13,925.0,3,3,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,0.0,0.0,0.46153846153846156,71.15384615384616,0.04216216216216216,0.0,0.0
Championship,2022,Doyle,James Michael,33,Scotland,Hamilton Academical,Defender,21,1706.0,1,3,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,0.0,0.0,0.19047619047619047,81.23809523809524,0.08616647127784291,0.0,0.0
Championship,2022,Doyle,James Michael,33,Scotland,Alloa Athletic,Defender,0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Championship,2022,Donnelly,Luke,28,Scotland,Arbroath,Attacker,3,152.0,1,2,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,1.0,50.666666666666664,0.0,0.0,0.0
Championship,2022,Donnelly,Luke,28,Scotland,Alloa Athletic,Attacker,2,86.0,2,0,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.5,1.0,43.0,0.0,0.0,0.0
Championship,2022,Lang,Thomas,27,England,Raith Rovers,Defender,14,1211.0,0,1,2,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0.0,0.0,0.0,0.07142857142857142,0.07142857142857142,86.5,0.03468208092485549,0.0,0.011560693641618497
Championship,2022,Spencer,Brad,28,England,Raith Rovers,Midfielder,25,1834.0,4,7,5,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,0.0,0.0,0.44,73.36,0.09541984732824428,0.0,0.0
Championship,2022,Neill,Morgyn,28,Scotland,Cove Rangers,Defender,20,1544.0,3,2,16,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,0.0,0.0,0.0,0.1,0.25,77.2,0.038860103626943004,0.0,0.0
Championship,2022,Tait,Dylan,23,Scotland,Arbroath,Midfielder,20,1125.0,7,6,13,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0,0,0.0,0.0,0.0,0.0,0.65,56.25,0.12444444444444444,0.0,0.0
Championship,2022,Scully,Connor,32,Scotland,Cove Rangers,Midfielder,35,3053.0,0,7,0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0.0,0.0,0.0,0.2,0.2,87.22857142857143,0.04585653455617426,0.0,0.0
Championship,2022,Pignatiello,Carlo Ross,24,Scotland,Morton,Midfielder,19,1142.0,6,8,21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.7368421052631579,60.10526315789474,0.03327495621716287,0.0,0.0
Championship,2022,Demus,Balint,22,Hungary,Cove Rangers,Goalkeeper,0,0.0,0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
