League,Season,Last Name,FirstName,Age,City,Country,Team Name,Posistion,Player Number,Number Of Appearences,Game Time,Number of Sub ins,Number of Sub outs,Number of Times Benched,Total Shots,Total Shots On Goal,Total Goals Scored,Number of Goals Assists,Number of Goals Conceded,Number of Goals Saved,Total Passes,Number of Key Passes,Passing Accuracy,Total Tackles,Total Blocks,Number of Interceptions,Total Duels,Number of Duels Won,Total Dribble Attempts,Total Successful Dribbles,Total Dribble Past,Total Fouls Drawn,Total Fouls Committed,Total Yellow Cards,Total Red cards,Total YellowRed cards,Number of Penalties Won,Number of Penalties Commited,Number of Penalties Scored,Number of Penalties Missed,Number of Penalties Saved
First League,2019,Marinković,Nenad,32.0,Knjaževac,Serbia,Sileks,Midfielder,,4.0,197.0,3.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Đurić,Stefan,26.0,Užice,Serbia,Sileks,Attacker,,20.0,842.0,16.0,16.0,16.0,,,1.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2019,Radović,Nikola,29.0,Kraljevo,Serbia,Borec,Attacker,,5.0,435.0,0.0,0.0,0.0,,,3.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2019,Rodrigues de Araujo,Fernando Augusto,30.0,Araxá,Brazil,Makedonija GjP,Defender,,21.0,1827.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,6.0,0.0,0.0,,,,,
First League,2019,Ibraimi,Agim,34.0,Tetovo,North Macedonia,Shkendija,Attacker,,21.0,1543.0,4.0,4.0,4.0,,,4.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Žeravica,Miloš,33.0,Zrenjanin,Serbia,Sileks,Midfielder,,21.0,1543.0,3.0,3.0,3.0,,,2.0,,,,,,,,,,,,,,,,,4.0,0.0,1.0,,,,,
First League,2019,Ivljanin,Đorđe,26.0,"
    ",Serbia,Borec,Midfielder,,1.0,74.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Alimi,Armend,36.0,,North Macedonia,Shkendija,Midfielder,,20.0,1737.0,0.0,0.0,0.0,,,9.0,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,,,,
First League,2019,Veliu,Artan,24.0,"
    ",North Macedonia,Renova,Attacker,,11.0,199.0,11.0,11.0,11.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Peev,Oliver,35.0,"
    ",North Macedonia,Borec,Midfielder,,15.0,1265.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2019,Silva dos Santos,Fernando,31.0,São Paulo,Brazil,Borec,Attacker,,5.0,424.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Mitevski,Slagjan,30.0,,North Macedonia,Sileks,Midfielder,,2.0,42.0,2.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Papović,Boško,26.0,"
    ",Serbia,FK Rabotnicki,Attacker,,6.0,144.0,5.0,5.0,5.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Sefo,Altin,21.0,"
    ",North Macedonia,Renova,Midfielder,,6.0,276.0,2.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Grozdanoski,Darko,22.0,"
    ",North Macedonia,Sileks,Attacker,,22.0,1156.0,3.0,3.0,3.0,,,2.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2019,Aliu,Armend,25.0,Zagreb,Croatia,Renova,Midfielder,,6.0,296.0,3.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2019,Saliji,Meriton,24.0,Tetovo,North Macedonia,Renova,Midfielder,,6.0,360.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2019,Bogdanovski,Stefan,21.0,Skopje,North Macedonia,Borec,Attacker,,2.0,57.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Rushiti,Metin,19.0,"
    ",North Macedonia,Sileks,Midfielder,,2.0,63.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Júnior Dao,Yenbenou Yannick Arold,23.0,"
    ",Burkina Faso,FK Rabotnicki,Defender,,3.0,24.0,3.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Najdenov,Bojan,33.0,,North Macedonia,Akademija Pandev,Midfielder,,4.0,92.0,4.0,4.0,4.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Velkoski,Viktor,29.0,,North Macedonia,FK Rabotnicki,Defender,,19.0,1545.0,2.0,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Stojanovski,Filip,28.0,,North Macedonia,Shkupi 1927,Defender,,13.0,1167.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,4.0,0.0,1.0,,,,,
First League,2019,Gavazaj,Alush,29.0,Prizren,Kosovo,Renova,Midfielder,,5.0,450.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2019,Nafiu,Valjmir,30.0,Tetovo,North Macedonia,Shkendija,Attacker,,8.0,259.0,5.0,5.0,5.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Ramadani,Emran,32.0,Tetovo,North Macedonia,Struga,Midfielder,,20.0,1477.0,3.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2019,Gjorgievski,Bojan,32.0,,North Macedonia,Shkupi 1927,Defender,,2.0,74.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Krstevski,Strahinja,26.0,Novi Sad,Serbia,FK Rabotnicki,Attacker,,8.0,371.0,5.0,5.0,5.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Čubraković,Dušan,29.0,,Serbia,Akademija Pandev,Goalkeeper,,23.0,2070.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2019,Shefiti,Shefit,25.0,Tetovo,North Macedonia,Renova,Attacker,,4.0,33.0,4.0,4.0,4.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Alves Ribeiro,Juan Felipe,36.0,São Vicente,Brazil,Shkendija,Attacker,,10.0,698.0,2.0,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Iseni,Besar,27.0,,North Macedonia,Shkupi 1927,Midfielder,,10.0,743.0,1.0,1.0,1.0,,,4.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Temelkov,Riste,27.0,,North Macedonia,Akademija Pandev,Defender,,5.0,325.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Ismailji,Fati,27.0,,North Macedonia,Shkupi 1927,Defender,,11.0,891.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,0.0,,,,,
First League,2019,Trajkoski,Luka,24.0,,North Macedonia,Makedonija GjP,Midfielder,,5.0,89.0,5.0,5.0,5.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Cheshmedzhiev,Konstantin,27.0,,North Macedonia,Shkendija,Defender,,13.0,1140.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,6.0,0.0,1.0,,,,,
First League,2019,Selmani,Jasir,33.0,,North Macedonia,Renova,Midfielder,,8.0,603.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2019,Aleksovski,Filip,24.0,Skopje,North Macedonia,Makedonija GjP,Attacker,,2.0,63.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Amaro Neto,Aldair Sapalo,30.0,Luanda,Angola,Shkendija,Midfielder,,2.0,33.0,2.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Simonovski,Nikolche,31.0,,North Macedonia,Struga,Goalkeeper,,1.0,90.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Siljanovski,Goran,34.0,Tetovo,North Macedonia,FK Rabotnicki,Defender,,16.0,1167.0,3.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,6.0,0.0,1.0,,,,,
First League,2019,Sulejmani,Aljban,26.0,Kumanovo,North Macedonia,Struga,Midfielder,,4.0,35.0,4.0,4.0,4.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Micevski,Darko,32.0,Skopje,North Macedonia,Vardar Skopje,Midfielder,,20.0,1775.0,0.0,0.0,0.0,,,4.0,,,,,,,,,,,,,,,,,4.0,0.0,1.0,,,,,
First League,2019,Fazli,Samir,33.0,Skopje,North Macedonia,Shkendija,Attacker,,10.0,286.0,9.0,9.0,9.0,,,1.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Selmani,Remzifaik,27.0,,North Macedonia,Renova,Attacker,,17.0,1422.0,1.0,1.0,1.0,,,7.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2019,Duranski,Filip,33.0,Skopje,North Macedonia,Sileks,Midfielder,,17.0,1455.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,7.0,0.0,0.0,,,,,
First League,2019,Stojchevski,Filip,25.0,,North Macedonia,FK Rabotnicki,Midfielder,,5.0,351.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Popzlatanov,Jovan,28.0,Skopje,North Macedonia,Vardar Skopje,Attacker,,18.0,1275.0,5.0,5.0,5.0,,,1.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2019,Stoilov,Gjorgi,29.0,,North Macedonia,Akademija Pandev,Midfielder,,18.0,1490.0,0.0,0.0,0.0,,,2.0,,,,,,,,,,,,,,,,,3.0,0.0,1.0,,,,,
First League,2019,Dragarski,Hristijan,32.0,,North Macedonia,Struga,Defender,,13.0,1087.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,5.0,0.0,1.0,,,,,
First League,2019,Mishevski,Filip,33.0,,North Macedonia,Makedonija GjP,Defender,,14.0,1030.0,4.0,4.0,4.0,,,0.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2019,Pecov,Hristijan,30.0,,North Macedonia,FK Rabotnicki,Defender,,4.0,287.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Manevski,Mihail,25.0,,North Macedonia,Akademija Pandev,Defender,,10.0,836.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Jovanov,Vane,26.0,,North Macedonia,Akademija Pandev,Defender,,18.0,1457.0,2.0,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Jankov,Risto,26.0,Skopje,North Macedonia,FK Rabotnicki,Goalkeeper,,1.0,25.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Cvetanoski,Dejan,34.0,,North Macedonia,Struga,Attacker,,21.0,1188.0,8.0,8.0,8.0,,,2.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2019,Blazhevski,Martin,32.0,Skopje,North Macedonia,Borec,Midfielder,,8.0,406.0,3.0,3.0,3.0,,,0.0,,,,,,,,,,,,,,,,,2.0,0.0,1.0,,,,,
First League,2019,Gjorgjiev,Gjorgji,28.0,,North Macedonia,Borec,Midfielder,,17.0,1214.0,4.0,4.0,4.0,,,1.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
First League,2019,Nikolovski,Kristijan,27.0,,North Macedonia,Borec,Midfielder,,20.0,979.0,8.0,8.0,8.0,,,0.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2019,Velkovski,David,24.0,,North Macedonia,Vardar Skopje,Attacker,,8.0,76.0,8.0,8.0,8.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Glishikj,Darko,33.0,,North Macedonia,Shkupi 1927,Defender,,5.0,392.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,1.0,,,,,
First League,2019,Jusufi,Fatjon,29.0,Tetovo,North Macedonia,Shkupi 1927,Midfielder,,16.0,571.0,12.0,12.0,12.0,,,3.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Ilikj,Filip,27.0,Skopje,North Macedonia,Vardar Skopje,Goalkeeper,,1.0,90.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Demir,Benjamin,28.0,,North Macedonia,Shkupi 1927,Defender,,2.0,180.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Zahov,Kostadin,37.0,,North Macedonia,Shkendija,Goalkeeper,,22.0,1980.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,1.0,0.0,0.0,,,,,
First League,2019,Murati,Mevlan,30.0,Tetovo,North Macedonia,Shkendija,Defender,,20.0,1757.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,5.0,0.0,1.0,,,,,
First League,2019,Gachevski,Filip,34.0,Murska Sobota,Slovenia,Vardar Skopje,Goalkeeper,,22.0,1980.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,5.0,0.0,0.0,,,,,
First League,2019,Brdarovski,Vladica,34.0,Bitola,North Macedonia,Vardar Skopje,Defender,,23.0,1952.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2019,Petkovski,Petar,27.0,,North Macedonia,FK Rabotnicki,Attacker,,18.0,1347.0,2.0,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,4.0,0.0,0.0,,,,,
First League,2019,Alomeroviс,Sabahudin,27.0,Skopje,North Macedonia,FK Rabotnicki,Defender,,3.0,182.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
First League,2019,Bilali,Sabit,27.0,Tetovo,North Macedonia,Shkupi 1927,Midfielder,,23.0,1890.0,1.0,1.0,1.0,,,0.0,,,,,,,,,,,,,,,,,3.0,0.0,0.0,,,,,
